letter,pixel,r,g,b
e1,0,255,0,0
e1,1,255,0,0
e1,2,255,0,0
e1,3,255,0,255
e1,4,255,0,0
e1,5,255,0,0
e1,6,255,0,0
e1,7,255,0,0
e1,8,255,0,0
e1,9,255,0,0
e1,10,255,0,0
e1,11,255,0,0
e1,12,255,0,0
e1,13,255,0,0
e1,14,255,0,0
e1,15,255,0,0
e1,16,255,0,0
e1,17,255,0,0
e1,18,255,0,0
e1,19,255,0,0
e1,20,255,0,0
e1,21,255,0,0
e1,22,255,0,0
e1,23,255,0,0
l1,0,0,255,0
l1,1,0,255,0
l1,2,0,255,0
l1,3,0,255,0
l1,4,0,255,0
l1,5,0,255,0
l1,6,0,255,0
l1,7,0,255,0
l1,8,0,255,0
l1,9,0,255,0
l1,10,0,255,0
l1,11,0,255,0
l1,12,0,255,0
l1,13,0,255,0
l1,14,0,255,0
l1,15,0,255,0
l1,16,0,255,0
l1,17,0,255,0
a1,0,0,0,255
a1,1,0,0,255
a1,2,0,0,255
a1,3,0,0,255
a1,4,0,0,255
a1,5,0,0,255
a1,6,0,0,255
a1,7,0,0,255
a1,8,0,0,255
a1,9,0,0,255
a1,10,0,0,255
a1,11,0,0,255
a1,12,0,0,255
a1,13,0,0,255
a1,14,0,0,255
a1,15,0,0,255
a1,16,0,0,255
a1,17,0,0,255
a1,18,0,0,255
a1,19,0,0,255
a1,20,0,0,255
t1,0,255,255,0
t1,1,255,255,0
t1,2,255,255,0
t1,3,255,255,0
t1,4,255,255,0
t1,5,255,255,0
t1,6,255,255,0
t1,7,255,255,0
t1,8,255,255,0
t1,9,255,255,0
t1,10,255,255,0
t1,11,255,255,0
t1,12,255,255,0
t1,13,255,255,0
t1,14,255,255,0
t1,15,255,255,0
t1,16,255,255,0
t1,17,255,255,0
t1,18,255,255,0
i1,0,0,255,255
i1,1,0,255,255
i1,2,0,255,255
i1,3,0,255,255
i1,4,0,255,255
i1,5,0,255,255
i1,6,0,255,255
i1,7,0,255,255
i1,8,0,255,255
i1,9,0,255,255
i1,10,0,255,255
i1,11,0,255,255
i1,12,0,255,255
i1,13,0,255,255
i1,14,0,255,255
i1,15,0,255,255
i1,16,0,255,255
i1,17,0,255,255
i1,18,0,255,255
i1,19,0,255,255
i1,20,0,255,255
i1,21,0,255,255
i1,22,0,255,255
i1,23,0,255,255
o1,0,255,0,255
o1,1,255,0,255
o1,2,255,0,255
o1,3,255,0,255
o1,4,255,0,255
o1,5,255,0,255
o1,6,255,0,255
o1,7,255,0,255
o1,8,255,0,255
o1,9,255,0,255
o1,10,255,0,255
o1,11,255,0,255
o1,12,255,0,255
o1,13,255,0,255
o1,14,255,0,255
o1,15,255,0,255
o1,16,255,0,255
o1,17,255,0,255
o1,18,255,0,255
o1,19,255,0,255
n1,0,255,128,0
n1,1,255,128,0
n1,2,255,128,0
n1,3,255,128,0
n1,4,255,128,0
n1,5,255,128,0
n1,6,255,128,0
n1,7,255,128,0
n1,8,255,128,0
n1,9,255,128,0
n1,10,255,128,0
n1,11,255,128,0
n1,12,255,128,0
n1,13,255,128,0
n1,14,255,128,0
n1,15,255,128,0
n1,16,255,128,0
n1,17,255,128,0
n1,18,255,128,0
n1,19,255,128,0
n1,20,255,128,0
n1,21,255,128,0
n1,22,255,128,0
n1,23,255,128,0
n1,24,255,128,0
n1,25,255,128,0
n1,26,255,128,0
s1,0,128,0,255
s1,1,128,0,255
s1,2,128,0,255
s1,3,128,0,255
s1,4,128,0,255
s1,5,128,0,255
s1,6,128,0,255
s1,7,128,0,255
s1,8,128,0,255
s1,9,128,0,255
s1,10,128,0,255
s1,11,128,0,255
s1,12,128,0,255
s1,13,128,0,255
s1,14,128,0,255
s1,15,128,0,255
s1,16,128,0,255
s1,17,128,0,255
s1,18,128,0,255
s1,19,128,0,255
t2,0,0,128,255
t2,1,0,128,255
t2,2,0,128,255
t2,3,0,128,255
t2,4,0,128,255
t2,5,0,128,255
t2,6,0,128,255
t2,7,0,128,255
t2,8,0,128,255
t2,9,0,128,255
t2,10,0,128,255
t2,11,0,128,255
t2,12,0,128,255
t2,13,0,128,255
t2,14,0,128,255
t2,15,0,128,255
t2,16,0,128,255
t2,17,0,128,255
t2,18,0,128,255
t2,19,0,128,255
t2,20,0,128,255
a2,0,128,255,0
a2,1,128,255,0
a2,2,128,255,0
a2,3,128,255,0
a2,4,128,255,0
a2,5,128,255,0
a2,6,128,255,0
a2,7,128,255,0
a2,8,128,255,0
a2,9,128,255,0
a2,10,128,255,0
a2,11,128,255,0
a2,12,128,255,0
a2,13,128,255,0
a2,14,128,255,0
a2,15,128,255,0
a2,16,128,255,0
a2,17,128,255,0
a2,18,128,255,0
a2,19,128,255,0
a2,20,128,255,0
a2,21,128,255,0
a2,22,128,255,0
a2,23,128,255,0
a2,24,128,255,0
a2,25,128,255,0
a2,26,128,255,0
a2,27,128,255,0
a2,28,128,255,0
t3,0,255,0,128
t3,1,255,0,128
t3,2,255,0,128
t3,3,255,0,128
t3,4,255,0,128
t3,5,255,0,128
t3,6,255,0,128
t3,7,255,0,128
t3,8,255,0,128
t3,9,255,0,128
t3,10,255,0,128
t3,11,255,0,128
t3,12,255,0,128
t3,13,255,0,128
t3,14,255,0,128
t3,15,255,0,128
t3,16,255,0,128
t3,17,255,0,128
t3,18,255,0,128
t3,19,255,0,128
t3,20,255,0,128
t3,21,255,0,128
t3,22,255,0,128
t3,23,255,0,128
t3,24,255,0,128
t3,25,255,0,128
t3,26,255,0,128
i2,0,0,255,128
i2,1,0,255,128
i2,2,0,255,128
i2,3,0,255,128
i2,4,0,255,128
i2,5,0,255,128
i2,6,0,255,128
i2,7,0,255,128
i2,8,0,255,128
i2,9,0,255,128
i2,10,0,255,128
i2,11,0,255,128
i2,12,0,255,128
i2,13,0,255,128
i2,14,0,255,128
i2,15,0,255,128
i2,16,0,255,128
i2,17,0,255,128
i2,18,0,255,128
i2,19,0,255,128
i2,20,0,255,128
i2,21,0,255,128
o2,0,128,128,128
o2,1,128,128,128
o2,2,128,128,128
o2,3,128,128,128
o2,4,128,128,128
o2,5,128,128,128
o2,6,128,128,128
o2,7,128,128,128
o2,8,128,128,128
o2,9,128,128,128
o2,10,128,128,128
o2,11,128,128,128
o2,12,128,128,128
o2,13,128,128,128
o2,14,128,128,128
o2,15,128,128,128
o2,16,128,128,128
o2,17,128,128,128
o2,18,128,128,128
n2,0,255,255,255
n2,1,255,255,255
n2,2,255,255,255
n2,3,255,255,255
n2,4,255,255,255
n2,5,255,255,255
n2,6,255,255,255
n2,7,255,255,255
n2,8,255,255,255
n2,9,255,255,255
n2,10,255,255,255
n2,11,255,255,255
n2,12,255,255,255
n2,13,255,255,255
n2,14,255,255,255
n2,15,255,255,255
n2,16,255,255,255
n2,17,255,255,255
n2,18,255,255,255
n2,19,255,255,255
n2,20,255,255,255
n2,21,255,255,255
n2,22,255,255,255
n2,23,255,255,255
n2,24,255,255,255
n2,25,255,255,255
n2,26,255,255,255
n2,27,255,255,255
n2,28,255,255,255
n2,29,255,255,255
n2,30,255,255,255
n2,31,255,255,255
